"Legislaturperiode";"Patei";"Wahlkreis";"Stimmen";"Stimmenprozent"
16;"DIE LINKE";28;8583;5.2
16;"NPD";28;1592;1.0
16;"Die Tierschutzpartei";28;915;0.6
16;"PBC";28;186;0.1
16;"BüSo";28;62;0.0
16;"MLPD";28;81;0.0
16;"SPD";29;79652;46.2
16;"CDU";29;49561;28.7
16;"FDP";29;17836;10.3
16;"GRÜNE";29;12405;7.2
16;"DIE LINKE";29;8398;4.9
16;"NPD";29;2142;1.2
16;"Die Tierschutzpartei";29;1099;0.6
16;"PBC";29;206;0.1
16;"BüSo";29;74;0.0
16;"MLPD";29;74;0.0
16;"SPD";30;64724;44.1
16;"CDU";30;50370;34.3
16;"FDP";30;12349;8.4
16;"GRÜNE";30;8966;6.1
16;"DIE LINKE";30;6447;4.4
16;"NPD";30;2011;1.4
16;"Die Tierschutzpartei";30;986;0.7
16;"PBC";30;173;0.1
16;"BüSo";30;76;0.1
16;"MLPD";30;45;0.0
16;"SPD";31;59776;40.1
16;"CDU";31;54446;36.5
16;"FDP";31;14467;9.7
16;"GRÜNE";31;10658;7.1
16;"DIE LINKE";31;5701;3.8
16;"NPD";31;2139;1.4
16;"Die Tierschutzpartei";31;842;0.6
16;"PBC";31;226;0.2
16;"BüSo";31;80;0.1
16;"MLPD";31;45;0.0
16;"SPD";32;60408;34.0
16;"CDU";32;86520;48.7
16;"FDP";32;15042;8.5
16;"GRÜNE";32;8212;4.6
16;"DIE LINKE";32;4897;2.8
16;"NPD";32;1237;0.7
16;"Die Tierschutzpartei";32;761;0.4
16;"PBC";32;185;0.1
16;"BüSo";32;58;0.0
16;"MLPD";32;30;0.0
16;"SPD";33;40084;25.3
16;"CDU";33;90513;57.2
16;"FDP";33;16071;10.2
16;"GRÜNE";33;5227;3.3
16;"DIE LINKE";33;3602;2.3
16;"NPD";33;1219;0.8
16;"Die Tierschutzpartei";33;613;0.4
16;"PBC";33;507;0.3
16;"BüSo";33;50;0.0
16;"MLPD";33;35;0.0
16;"SPD";34;62773;41.7
16;"CDU";34;50311;33.4
16;"FDP";34;16092;10.7
16;"GRÜNE";34;11070;7.4
16;"DIE LINKE";34;6577;4.4
16;"NPD";34;1782;1.2
16;"Die Tierschutzpartei";34;870;0.6
16;"PBC";34;315;0.2
16;"BüSo";34;75;0.0
16;"MLPD";34;56;0.0
16;"SPD";35;65909;43.7
16;"CDU";35;45078;29.9
16;"FDP";35;13843;9.2
16;"GRÜNE";35;13732;9.1
16;"DIE LINKE";35;7604;5.0
16;"NPD";35;2387;1.6
16;"Die Tierschutzpartei";35;975;0.6
16;"PBC";35;536;0.4
16;"BüSo";35;82;0.1
16;"MLPD";35;52;0.0
16;"SPD";36;53117;40.7
16;"CDU";36;46769;35.8
16;"FDP";36;12409;9.5
16;"GRÜNE";36;9164;7.0
16;"DIE LINKE";36;5229;4.0
16;"NPD";36;2019;1.5
16;"Die Tierschutzpartei";36;892;0.7
16;"PBC";36;474;0.4
16;"BüSo";36;66;0.1
16;"MLPD";36;41;0.0
16;"SPD";37;56250;36.9
16;"CDU";37;55816;36.6
16;"FDP";37;17501;11.5
16;"GRÜNE";37;13324;8.7
16;"DIE LINKE";37;5771;3.8
16;"NPD";37;1687;1.1
16;"Die Tierschutzpartei";37;996;0.7
16;"PBC";37;397;0.3
16;"BüSo";37;69;0.0
16;"MLPD";37;42;0.0
16;"SPD";38;54010;39.3
16;"CDU";38;42265;30.8
16;"FDP";38;12649;9.2
16;"GRÜNE";38;16420;12.0
16;"DIE LINKE";38;8265;6.0
16;"NPD";38;1826;1.3
16;"Die Tierschutzpartei";38;798;0.6
16;"PBC";38;255;0.2
16;"BüSo";38;60;0.0
16;"MLPD";38;56;0.0
16;"SPD";39;57200;37.4
16;"CDU";39;62100;40.6
16;"FDP";39;15371;10.0
16;"GRÜNE";39;10143;6.6
16;"DIE LINKE";39;5039;3.3
16;"NPD";39;1482;1.0
16;"Die Tierschutzpartei";39;691;0.5
16;"PBC";39;466;0.3
16;"BüSo";39;53;0.0
16;"MLPD";39;21;0.0
16;"SPD";40;60941;40.0
16;"CDU";40;54431;35.7
16;"FDP";40;14015;9.2
16;"GRÜNE";40;14734;9.7
16;"DIE LINKE";40;5615;3.7
16;"NPD";40;1056;0.7
16;"Die Tierschutzpartei";40;605;0.4
16;"PBC";40;286;0.2
16;"BüSo";40;47;0.0
16;"MLPD";40;61;0.0
16;"SPD";41;73126;47.0
16;"CDU";41;50643;32.5
16;"FDP";41;12548;8.1
16;"GRÜNE";41;9457;6.1
16;"DIE LINKE";41;5618;3.6
16;"NPD";41;2369;1.5
16;"Die Tierschutzpartei";41;808;0.5
16;"PBC";41;432;0.3
16;"BüSo";41;75;0.0
16;"MLPD";41;45;0.0
16;"SPD";42;64477;46.4
16;"CDU";42;36313;26.2
16;"FDP";42;12349;8.9
16;"GRÜNE";42;15356;11.1
16;"DIE LINKE";42;6666;4.8
16;"NPD";42;1658;1.2
16;"Die Tierschutzpartei";42;749;0.5
16;"PBC";42;312;0.2
16;"BüSo";42;74;0.1
16;"MLPD";42;92;0.1
16;"SPD";43;66004;45.1
16;"CDU";43;37099;25.4
16;"FDP";43;11689;8.0
16;"GRÜNE";43;20271;13.9
16;"DIE LINKE";43;7969;5.4
16;"NPD";43;1428;1.0
16;"Die Tierschutzpartei";43;747;0.5
16;"PBC";43;293;0.2
16;"BüSo";43;84;0.1
16;"MLPD";43;106;0.1
16;"SPD";44;82786;44.6
16;"CDU";44;60292;32.5
16;"FDP";44;18205;9.8
16;"GRÜNE";44;13112;7.1
16;"DIE LINKE";44;6554;3.5
16;"NPD";44;2297;1.2
16;"Die Tierschutzpartei";44;991;0.5
16;"PBC";44;442;0.2
16;"BüSo";44;87;0.0
16;"MLPD";44;57;0.0
16;"SPD";45;69053;40.5
16;"CDU";45;61932;36.4
16;"FDP";45;16195;9.5
16;"GRÜNE";45;11021;6.5
16;"DIE LINKE";45;7086;4.2
16;"NPD";45;2614;1.5
16;"Die Tierschutzpartei";45;1000;0.6
16;"PBC";45;560;0.3
16;"BüSo";45;77;0.0
16;"MLPD";45;52;0.0
16;"SPD";46;79969;46.4
16;"CDU";46;55810;32.4
16;"FDP";46;14026;8.1
16;"GRÜNE";46;10509;6.1
16;"DIE LINKE";46;7193;4.2
16;"NPD";46;2232;1.3
16;"Die Tierschutzpartei";46;1037;0.6
16;"PBC";46;851;0.5
16;"BüSo";46;92;0.1
16;"MLPD";46;67;0.0
16;"SPD";47;74129;47.4
16;"CDU";47;45916;29.4
16;"FDP";47;15170;9.7
16;"GRÜNE";47;9756;6.2
16;"DIE LINKE";47;7057;4.5
16;"NPD";47;2283;1.5
16;"Die Tierschutzpartei";47;1049;0.7
16;"PBC";47;361;0.2
16;"BüSo";47;66;0.0
16;"MLPD";47;44;0.0
16;"SPD";48;90630;46.8
16;"CDU";48;58796;30.4
16;"FDP";48;16590;8.6
16;"GRÜNE";48;15028;7.8
16;"DIE LINKE";48;7164;3.7
16;"NPD";48;2634;1.4
16;"Die Tierschutzpartei";48;1157;0.6
16;"PBC";48;385;0.2
16;"BüSo";48;101;0.1
16;"MLPD";48;83;0.0
16;"SPD";49;84440;47.0
16;"CDU";49;58261;32.4
16;"FDP";49;12909;7.2
16;"GRÜNE";49;12684;7.1
16;"DIE LINKE";49;6781;3.8
16;"NPD";49;2315;1.3
16;"Die Tierschutzpartei";49;1041;0.6
16;"PBC";49;383;0.2
16;"BüSo";49;74;0.0
16;"MLPD";49;48;0.0
16;"SPD";50;81279;47.7
16;"CDU";50;53365;31.3
16;"FDP";50;12572;7.4
16;"GRÜNE";50;9317;5.5
16;"DIE LINKE";50;8596;5.0
16;"NPD";50;2704;1.6
16;"Die Tierschutzpartei";50;1087;0.6
16;"PBC";50;528;0.3
16;"BüSo";50;70;0.0
16;"MLPD";50;75;0.0
16;"SPD";51;64679;44.5
16;"CDU";51;42048;28.9
16;"FDP";51;12344;8.5
16;"GRÜNE";51;14421;9.9
