"Legislaturperiode";"Kandidat";"Partei";"Wahlkreis";"Stimmen";"Stimmenprozent"
17;941;"CDU";36;48344;40.21
17;3218;"FDP";36;9895;8.23
17;1445;"GRÜNE";36;9101;7.57
17;1671;"DIE LINKE";36;8366;6.96
17;159;"NPD";36;2138;1.78
17;935;"SPD";37;45002;30.63
17;952;"CDU";37;59657;40.6
17;288;"FDP";37;15812;10.76
17;774;"GRÜNE";37;13772;9.37
17;2842;"DIE LINKE";37;9611;6.54
17;3068;"NPD";37;1935;1.32
17;3182;"RRP";37;1153;0.78
17;1868;"SPD";38;40411;31.14
17;2348;"CDU";38;43229;33.31
17;397;"FDP";38;11242;8.66
17;1992;"GRÜNE";38;19645;15.14
17;3277;"DIE LINKE";38;11935;9.2
17;188;"NPD";38;1860;1.43
17;865;"RRP";38;1449;1.12
17;2990;"SPD";39;46028;32.2
17;2700;"CDU";39;63175;44.2
17;2918;"FDP";39;12940;9.05
17;2214;"GRÜNE";39;10393;7.27
17;312;"DIE LINKE";39;9006;6.3
17;1092;"NPD";39;1382;0.97
17;2886;"SPD";40;46979;33.05
17;2048;"CDU";40;54522;38.36
17;3160;"FDP";40;14823;10.43
17;3041;"GRÜNE";40;14282;10.05
17;1385;"DIE LINKE";40;9918;6.98
17;2781;"NPD";40;945;0.66
17;3070;;40;658;0.46
17;575;"SPD";41;58649;41.39
17;3508;"CDU";41;52714;37.2
17;2833;"FDP";41;8712;6.15
17;1434;"GRÜNE";41;10217;7.21
17;1969;"DIE LINKE";41;8797;6.21
17;244;"NPD";41;2036;1.44
17;429;;41;567;0.4
17;3132;"SPD";42;50592;38.97
17;2271;"CDU";42;42621;32.83
17;3462;"FDP";42;9699;7.47
17;767;"GRÜNE";42;13364;10.29
17;1204;"DIE LINKE";42;10624;8.18
17;1463;"NPD";42;1759;1.36
17;1470;"MLPD";42;176;0.14
17;2523;"RRP";42;978;0.75
17;378;"SPD";43;55068;39.64
17;1799;"CDU";43;44534;32.05
17;518;"FDP";43;8657;6.23
17;3412;"GRÜNE";43;15797;11.37
17;508;"DIE LINKE";43;12886;9.28
17;27;"NPD";43;1573;1.13
17;3360;;43;417;0.3
17;1942;"SPD";44;67178;38.72
17;1758;"CDU";44;66311;38.22
17;1295;"FDP";44;14560;8.39
17;1503;"GRÜNE";44;11642;6.71
17;2586;"DIE LINKE";44;11173;6.44
17;373;"NPD";44;2642;1.52
17;1879;"SPD";45;50107;32.3
17;2249;"CDU";45;68572;44.2
17;3215;"FDP";45;11351;7.32
17;348;"GRÜNE";45;10801;6.96
17;2909;"DIE LINKE";45;10130;6.53
17;262;"NPD";45;2501;1.61
17;2554;"RRP";45;1684;1.09
17;1087;"SPD";46;64365;40.48
17;1461;"CDU";46;58827;37
17;729;"FDP";46;10073;6.34
17;291;"GRÜNE";46;9476;5.96
17;577;"DIE LINKE";46;11663;7.33
17;1380;"NPD";46;2029;1.28
17;991;"RRP";46;1346;0.85
17;2178;;46;388;0.24
17;2713;"PBC";46;838;0.53
17;1853;"SPD";47;55842;39.61
17;3179;"CDU";47;49787;35.31
17;3185;"FDP";47;10401;7.38
17;2650;"GRÜNE";47;10849;7.7
17;1625;"DIE LINKE";47;11820;8.38
17;2174;"NPD";47;2283;1.62
17;2050;"SPD";48;73215;40.44
17;725;"CDU";48;65573;36.22
17;3376;"FDP";48;12982;7.17
17;3130;"GRÜNE";48;12533;6.92
17;2853;"DIE LINKE";48;11976;6.61
17;1234;"NPD";48;2853;1.58
17;1984;"RRP";48;1422;0.79
17;266;;48;502;0.28
17;331;"SPD";49;64555;39.05
17;1458;"CDU";49;60376;36.52
17;684;"FDP";49;10231;6.19
17;2362;"GRÜNE";49;14856;8.99
17;1271;"DIE LINKE";49;11402;6.9
17;2496;"NPD";49;2606;1.58
17;3367;"RRP";49;1293;0.78
17;806;"SPD";50;69631;44.89
17;790;"CDU";50;50519;32.57
17;1421;"FDP";50;9436;6.08
17;2933;"GRÜNE";50;9032;5.82
17;728;"DIE LINKE";50;12538;8.08
17;2843;"NPD";50;2791;1.8
17;3271;"RRP";50;1163;0.75
17;2451;"SPD";51;53572;38.76
17;2110;"CDU";51;47584;34.43
17;195;"FDP";51;7507;5.43
17;242;"GRÜNE";51;12012;8.69
17;2541;"DIE LINKE";51;10801;7.81
17;3483;"NPD";51;1310;0.95
17;485;"MLPD";51;118;0.09
17;2682;"PIRATEN";51;4214;3.05
17;3171;;51;800;0.58
17;459;;51;294;0.21
17;97;"SPD";52;46064;34.62
17;1703;"CDU";52;52427;39.4
17;1111;"FDP";52;8480;6.37
17;1521;"GRÜNE";52;10692;8.04
17;2008;"DIE LINKE";52;10216;7.68
17;2371;"NPD";52;3023;2.27
17;871;"RRP";52;1748;1.31
17;1401;"PBC";52;415;0.31
17;2377;"SPD";53;60107;39.14
17;666;"CDU";53;54451;35.45
17;566;"FDP";53;12719;8.28
17;431;"GRÜNE";53;9624;6.27
17;3479;"DIE LINKE";53;14083;9.17
17;1379;"NPD";53;2599;1.69
17;2239;"SPD";54;60483;36.82
17;713;"CDU";54;56503;34.39
17;1513;"FDP";54;10765;6.55
17;3209;"GRÜNE";54;21360;13
17;2195;"DIE LINKE";54;12493;7.6
17;1023;"NPD";54;2323;1.41
17;1688;;54;361;0.22
17;2952;"SPD";55;62588;33.72
17;2076;"CDU";55;53255;28.69
17;135;"GRÜNE";55;31564;17
17;2589;"DIE LINKE";55;21226;11.43
17;3005;"FDP";55;13587;7.32
17;68;"NPD";55;2012;1.08
17;1729;"MLPD";55;343;0.18
17;1211;;55;709;0.38
17;1537;;55;348;0.19
17;147;"SPD";56;58879;38.7
17;2172;"CDU";56;39186;25.76
17;2061;"GRÜNE";56;16985;11.16
17;2201;"DIE LINKE";56;21647;14.23
17;2063;"FDP";56;10850;7.13
17;888;"NPD";56;2614;1.72
17;815;"RRP";56;1563;1.03
17;3135;;56;423;0.28
17;3525;"SPD";57;33532;32.08
17;3133;"DIE LINKE";57;32198;30.8
17;2393;"CDU";57;22851;21.86
17;2077;"FDP";57;8162;7.81
17;2108;"GRÜNE";57;4483;4.29
17;264;"NPD";57;3314;3.17
17;1981;"SPD";58;27674;27
17;3104;"DIE LINKE";58;32791;32
17;1540;"CDU";58;26512;25.87
17;1125;"FDP";58;6396;6.24
17;2351;"GRÜNE";58;4385;4.28
17;2615;"NPD";58;3945;3.85
17;2140;;58;781;0.76
17;1648;"SPD";59;48621;29.18
17;2295;"DIE LINKE";59;40334;24.21
17;675;"CDU";59;46088;27.66
17;3032;"FDP";59;12963;7.78
17;3086;"GRÜNE";59;12193;7.32
17;1810;"NPD";59;5400;3.24
17;744;;59;1008;0.61
17;979;"SPD";60;38441;22.74
17;624;"DIE LINKE";60;62523;36.99
17;1955;"CDU";60;39863;23.58
17;161;"FDP";60;11115;6.58
17;563;"GRÜNE";60;8181;4.84
17;2412;"NPD";60;6069;3.59
17;3406;;60;2280;1.35
17;2976;;60;566;0.33
17;3046;"SPD";61;40957;32.85
17;901;"DIE LINKE";61;35484;28.46
17;3281;"CDU";61;30733;24.65
17;1722;"FDP";61;7328;5.88
17;850;"GRÜNE";61;4771;3.83
17;336;"NPD";61;3764;3.02
17;2974;;61;862;0.69
17;2474;;61;776;0.62
17;3419;"SPD";62;48720;28.69
