"Legislaturperiode";"Wahlkreis";"Gültige Erststimmen";"Gültige Zweitstimmen";"Wähler";"Wahlberechtigte"
16;252;146843;147128;149458;203162
16;253;188526;189416;191577;236590
16;254;144613;145504;147222;187610
16;255;175904;176827;179115;232818
16;256;167403;167930;169643;217158
16;257;181967;183783;186381;239599
16;258;143652;143831;145294;179288
16;259;136704;136659;138583;179622
16;260;194079;194198;196769;241166
16;261;132095;132380;133889;163579
16;262;162443;162795;164944;201242
16;263;139532;139881;142455;180833
16;264;173860;174236;176569;217671
16;265;162673;162935;165170;203269
16;266;176017;176370;179071;218571
16;267;179452;179955;183367;237705
16;268;162058;162025;165515;220164
16;269;134085;134295;136784;175509
16;270;170611;171355;174933;224632
16;271;147541;147814;150150;197356
16;272;162735;163172;165906;205134
16;273;154751;155132;158399;207276
16;274;168437;168640;170915;208852
16;275;143099;143593;146286;198518
16;276;164268;164786;168380;216051
16;277;152822;153227;155883;193332
16;278;148813;149175;152375;190693
16;279;166003;166366;169442;218955
16;280;151320;151375;153953;198594
16;281;162454;162859;165010;205189
16;282;166141;166746;169552;220779
16;283;157189;157461;160982;209138
16;284;148461;148543;151908;201410
16;285;149453;150132;153257;199140
16;286;126095;126488;129388;167645
16;287;147576;148157;150629;193465
16;288;132984;134115;136437;176676
16;289;153064;153763;156407;195834
16;290;145350;145625;148011;182904
16;291;168248;168643;171930;214908
16;292;122794;122944;125405;158342
16;293;127790;127987;129793;163240
16;294;135785;135899;138293;177314
16;295;138300;138890;141883;185197
16;296;158091;158094;161396;209832
16;297;168337;168482;173032;216527
16;298;148817;149286;153996;187024
16;299;157504;157656;161665;205095
17;1;159212;159148;163329;225216
17;2;131289;131453;134671;187047
17;3;124972;125290;128320;177604
17;4;146614;146992;150018;198910
17;5;142041;143220;145483;200347
17;6;124679;124940;127971;175132
17;7;172804;172995;176188;232899
17;8;176621;176992;180295;240010
17;9;127874;128823;131917;179987
17;10;177684;178309;181568;237144
17;11;121100;121340;124624;180424
17;12;134475;134809;136923;216789
17;13;118260;118564;120292;183166
17;14;128502;128748;130659;198527
17;15;117306;117100;119369;199517
17;16;121364;121500;123824;204944
17;17;130262;130552;132878;211429
17;18;115540;115994;118231;185926
17;19;164493;165131;167220;252967
17;20;129155;129336;130630;173956
17;21;140132;140725;142023;186357
17;22;161191;161655;163012;207016
17;23;147923;148363;150049;217147
17;24;140764;141128;143119;219191
17;25;130446;130764;132885;189804
17;26;162261;162517;164653;231076
17;27;130105;130796;132735;190546
17;28;156456;156857;158347;215591
17;29;159614;159763;161584;226440
17;30;133922;134249;135824;189058
17;31;140424;140690;142114;192956
17;32;167303;167528;169078;226979
17;33;147227;147510;148935;212449
17;34;140192;140523;141838;193411
17;35;143241;143546;144883;192320
17;36;120239;120615;121941;168573
17;37;146942;147366;148918;191159
17;38;129771;130100;131466;177098
17;39;142924;143277;144630;197143
17;40;142127;142341;143711;192473
17;41;141692;142022;143398;198376
17;42;129813;129988;131369;180088
17;43;138932;139195;140587;190623
17;44;173506;173993;175757;232214
17;45;155146;155436;157137;217316
17;46;159005;159195;161017;216957
17;47;140982;141237;143185;197394
17;48;181056;181309;183314;239450
17;49;165319;165718;167520;222804
17;50;155110;155411;157578;213208
17;51;138212;138413;139948;189975
17;52;133065;133471;135261;187831
17;53;153583;154174;156221;214330
17;54;164288;164607;166515;224468
17;55;185632;186090;188189;256131
17;56;152147;152521;154838;231847
17;57;104540;104997;108017;171705
17;58;102484;102804;105814;169284
17;59;166607;167335;171514;249983
17;60;169038;169292;173707;255165
17;61;124675;124565;128273;199083
17;62;169839;170666;174226;239221
17;63;164606;165465;170204;246651
17;64;134767;135631;139228;208525
17;65;123961;124649;128179;196389
17;66;121448;122148;126140;192709
17;67;110428;110238;112980;182677
17;68;142854;143041;146265;239481
17;69;141205;141641;144340;236946
17;70;150016;150366;152948;254287
17;71;120584;120812;122932;197289
17;72;139686;139843;143128;248457
17;73;137323;137600;139785;223268
17;74;124968;125029;127503;214081
17;75;133713;134102;136840;232086
17;76;130606;131015;133355;197252
17;77;163263;163749;166099;232250
17;78;129493;129866;132532;183112
17;79;123701;123978;126799;184436
17;80;170185;170607;172795;217335
17;81;147733;148385;150356;195857
17;82;169395;169927;172928;232759
17;83;128698;129256;132613;197444
17;84;158289;158442;160861;222647
17;85;140512;140755;142838;200391
17;86;126401;126673;128897;203416
17;87;130483;130752;132766;204766
17;88;128629;129017;130211;176885
17;89;158050;158520;160816;228546
17;90;129352;129838;131761;187605
17;91;141611;142079;144058;199907
17;92;177440;177778;180037;245417
17;93;172648;173493;176069;245382
17;94;125293;125833;127011;186798
17;95;171212;171556;172562;224430
17;96;132633;132956;134252;197023
17;97;165676;165919;167574;219218
17;98;164831;165178;167034;231404
17;99;159752;160031;161746;211859
17;100;148220;148436;150609;211963
17;101;165071;165128;166669;215582
17;102;144416;144855;146460;213303
17;103;142988;143174;145089;216614
17;104;160035;160398;162192;229927
17;105;149006;149102;150715;204450
17;106;121149;121429;122690;168402
17;107;158014;158386;159600;218215
17;108;133133;133495;134823;195910
17;109;147976;148247;149942;213950
17;110;122416;122746;124190;194294
17;111;148036;148258;149731;204291
17;112;162376;162708;164366;227805
17;113;156325;156739;158453;226029
17;114;149521;149708;151261;207451
17;115;127920;128189;129601;182878
17;116;126489;126692;128326;185802
17;117;93845;94087;95554;159541
17;118;146126;146305;148108;212283
17;119;138936;139251;140658;194638
17;120;106416;106689;107997;171457
17;121;147690;148083;149281;197729
17;122;122190;122658;124037;174767
17;123;138551;138933;140361;194999
17;124;119021;120201;121673;187486
17;125;141698;142266;143677;200304
17;126;146719;146927;148523;208655
17;127;146234;146497;147728;196659
17;128;144997;145269;146369;189353
17;129;141940;142411;143782;192966
17;130;162559;162731;163921;210934
17;131;153521;154408;156217;211287
17;132;165709;166320;168245;232944
17;133;178093;178350;180441;247085
17;134;162618;163036;165115;233781
17;135;145385;145625;147381;209155
17;136;125937;126295;127817;174517
17;137;155648;155953;158321;216917
17;138;170350;170451;172558;243442
17;139;148827;149062;150712;217768
17;140;134133;134430;135860;183435
17;141;151947;152221;153800;214358
17;142;125475;126563;128511;188777
17;143;147775;148073;149331;214213
17;144;139562;139755;141167;208840
17;145;147152;147357;148909;202933
17;146;165098;165490;167422;239907
17;147;163089;163372;165293;232781
17;148;150315;150540;152242;209440
17;149;154607;155196;156878;218411
17;150;149186;149394;151127;214196
17;151;145198;145325;146986;210993
17;152;107843;107956;109628;178447
17;153;128115;128311;129834;202455
17;154;142677;142795;144581;212804
17;155;146106;146308;148389;231084
17;156;137820;137821;140109;216629
17;157;152059;152393;154966;237786
17;158;146987;147147;149737;238958
17;159;138760;138960;141214;215674
17;160;155213;155447;157220;230676
17;161;152281;152597;154609;231247
17;162;141396;141567;143690;223149
17;163;134384;134497;136100;205652
17;164;131126;131322;133277;202743
17;165;156771;156798;159655;247624
17;166;143231;143386;145614;229535
17;167;134909;135054;137330;213732
17;168;137007;137295;140808;192360
17;169;156779;157130;161033;222636
17;170;132014;132097;135727;184337
17;171;140099;140215;144490;194732
17;172;132911;133098;135293;185071
17;173;144848;145222;147952;212611
17;174;161820;162084;165668;228413
17;175;172957;173378;177038;239786
17;176;138775;138858;141075;182246
17;177;179698;179818;183820;246697
17;178;163056;163619;166456;221226
17;179;131051;131204;133425;187479
17;180;174537;174559;178604;241923
17;181;152927;153426;155748;195505
17;182;130212;130338;132429;190058
17;183;153877;154398;156548;212140
17;184;125020;125354;128119;172278
17;185;154888;154644;158857;221180
17;186;172968;173385;176435;233622
17;187;171422;171849;176808;234911
17;188;145173;145600;148308;199708
17;189;134746;134859;136404;204717
17;190;129063;129135;131047;201700
17;191;126065;126083;127925;200901
17;192;137807;137948;139919;214510
17;193;149274;149598;151236;225708
17;194;162529;162910;164803;245228
17;195;115037;115246;116989;182336
17;196;146678;147094;148939;231447
17;197;128645;128896;130502;207012
17;198;168926;170064;172799;242568
17;199;136533;137159;139346;195658
17;200;135657;136237;138790;196560
17;201;125958;127556;130191;179373
17;202;130129;130733;133191;190569
17;203;116572;117611;120001;168357
17;204;134786;136010;138338;191691
