"Legislaturperiode";"Bundesland";"Partei";"Erststimmen";"Erststimmen Prozent";"Zweitstimmen";"Zweitstimmen Prozent";"Direktmandate";"Überhangmandate";"Listenmandate"
17;"Baden-Württemberg";"GRÜNE";694760;0.0;755648;0.0;0;0;0
16;"Mecklenburg-Vorpommern";"PBC";740;0.0;2981;0.0;0;0;0
17;"Brandenburg";"NPD";46792;0.0;35396;0.0;0;0;0
16;"Niedersachsen";"SPD";2249746;0.0;2058174;0.0;0;0;0
17;"Nordrhein-Westfalen";"DVU";0;0.0;7358;0.0;0;0;0
16;"Berlin";"SPD";681591;0.0;637674;0.0;0;0;0
16;"Hamburg";"FDP";32904;0.0;84593;0.0;0;0;0
17;"Bremen";"RRP";1563;0.0;4144;0.0;0;0;0
17;"Bayern";"DIE VIOLETTEN";2064;0.0;13872;0.0;0;0;0
16;"Saarland";"CDU";214489;0.0;191067;0.0;0;0;0
17;"Mecklenburg-Vorpommern";"REP";0;0.0;1583;0.0;0;0;0
17;"Hamburg";"CDU";288404;0.0;246667;0.0;0;0;0
16;"Thüringen";"REP";0;0.0;9966;0.0;0;0;0
16;"Sachsen-Anhalt";"DIE LINKE";369268;0.0;385422;0.0;0;0;0
17;"Hessen";"CDU";1251139;0.0;1022822;0.0;0;0;0
17;"Rheinland-Pfalz";"DIE VIOLETTEN";833;0.0;0;0.0;0;0;0
17;"Hamburg";"DVU";0;0.0;1184;0.0;0;0;0
17;"Bayern";"DIE LINKE";386476;0.0;429371;0.0;0;0;0
16;"Nordrhein-Westfalen";"NPD";97166;0.0;80512;0.0;0;0;0
17;"Hessen";"DVU";0;0.0;2516;0.0;0;0;0
17;"Berlin";"PSG";0;0.0;1420;0.0;0;0;0
16;"Baden-Württemberg";"NPD";92847;0.0;66644;0.0;0;0;0
17;"Saarland";"GRÜNE";30671;0.0;39550;0.0;0;0;0
17;"Niedersachsen";"SPD";1581443;0.0;1297940;0.0;0;0;0
17;"Baden-Württemberg";"BüSo";819;0.0;2872;0.0;0;0;0
17;"Saarland";"DIE LINKE";107088;0.0;123880;0.0;0;0;0
16;"Hamburg";"DIE LINKE";44503;0.0;59463;0.0;0;0;0
17;"Bayern";"FDP";700960;0.0;976379;0.0;0;0;0
17;"Rheinland-Pfalz";"DIE LINKE";177323;0.0;205180;0.0;0;0;0
16;"Sachsen-Anhalt";"SPD";508573;0.0;474909;0.0;0;0;0
17;"Sachsen-Anhalt";"FDP";94139;0.0;124247;0.0;0;0;0
17;"Sachsen";"MLPD";436;0.0;5281;0.0;0;0;0
17;"Hessen";"DIE LINKE";225775;0.0;271455;0.0;0;0;0
17;"Sachsen-Anhalt";"GRÜNE";55547;0.0;61734;0.0;0;0;0
17;"Hamburg";"MLPD";158;0.0;445;0.0;0;0;0
16;"Bayern";"DIE LINKE";201865;0.0;244701;0.0;0;0;0
17;"Mecklenburg-Vorpommern";"FDP";61469;0.0;85203;0.0;0;0;0
16;"Berlin";"GRÜNE";229849;0.0;254546;0.0;0;0;0
17;"Berlin";"REP";0;0.0;5921;0.0;0;0;0
17;"Bremen";"DIE LINKE";42873;0.0;48369;0.0;0;0;0
17;"Schleswig-Holstein";"SPD";519995;0.0;430739;0.0;0;0;0
16;"Thüringen";"FDP";71968;0.0;115009;0.0;0;0;0
17;"Niedersachsen";"MLPD";294;0.0;1353;0.0;0;0;0
16;"Nordrhein-Westfalen";"PBC";3445;0.0;16957;0.0;0;0;0
16;"Hessen";"SPD";1415806;0.0;1197762;0.0;0;0;0
17;"Nordrhein-Westfalen";"PSG";0;0.0;1537;0.0;0;0;0
16;"Baden-Württemberg";"PBC";17624;0.0;33420;0.0;0;0;0
17;"Baden-Württemberg";"NPD";89204;0.0;61575;0.0;0;0;0
17;"Bremen";"NPD";4626;0.0;3612;0.0;0;0;0
17;"Hamburg";"DIE LINKE";86119;0.0;99096;0.0;0;0;0
16;"Brandenburg";"NPD";51389;0.0;50280;0.0;0;0;0
16;"Hessen";"DIE LINKE";142516;0.0;178913;0.0;0;0;0
17;"Sachsen";"REP";0;0.0;7148;0.0;0;0;0
16;"Bremen";"DIE LINKE";25658;0.0;30570;0.0;0;0;0
17;"Niedersachsen";"Die Tierschutzpartei";0;0.0;34658;0.0;0;0;0
17;"Nordrhein-Westfalen";"Volksabstimmung";2550;0.0;9367;0.0;0;0;0
17;"Rheinland-Pfalz";"CDU";903528;0.0;767487;0.0;0;0;0
16;"Brandenburg";"FAMILIE";7199;0.0;0;0.0;0;0;0
17;"Nordrhein-Westfalen";"REP";2768;0.0;30015;0.0;0;0;0
17;"Saarland";"FAMILIE";4102;0.0;8912;0.0;0;0;0
16;"Hamburg";"Die Tierschutzpartei";0;0.0;6864;0.0;0;0;0
17;"Rheinland-Pfalz";"DVU";0;0.0;1729;0.0;0;0;0
16;"Bayern";"NPD";126059;0.0;95196;0.0;0;0;0
17;"Berlin";"FDP";123780;0.0;198516;0.0;0;0;0
17;"Baden-Württemberg";"PBC";8588;0.0;24430;0.0;0;0;0
17;"Bayern";"Freie Union";5206;0.0;0;0.0;0;0;0
17;"Bremen";"PBC";0;0.0;855;0.0;0;0;0
17;"Bayern";"GRÜNE";675888;0.0;719265;0.0;0;0;0
16;"Mecklenburg-Vorpommern";"CDU";316169;0.0;293316;0.0;0;0;0
17;"Hessen";"BüSo";1357;0.0;3746;0.0;0;0;0
16;"Niedersachsen";"Die Tierschutzpartei";0;0.0;27404;0.0;0;0;0
17;"Hessen";"REP";6863;0.0;19240;0.0;0;0;0
16;"Rheinland-Pfalz";"NPD";36481;0.0;31012;0.0;0;0;0
16;"Sachsen";"SPD";666709;0.0;649807;0.0;0;0;0
16;"Bremen";"FDP";13514;0.0;29329;0.0;0;0;0
17;"Niedersachsen";"RRP";14204;0.0;31977;0.0;0;0;0
16;"Saarland";"FAMILIE";15939;0.0;13002;0.0;0;0;0
16;"Brandenburg";"GRÜNE";44562;0.0;80253;0.0;0;0;0
16;"Hessen";"GRÜNE";195060;0.0;340288;0.0;0;0;0
17;"Sachsen";"FDP";230005;0.0;299135;0.0;0;0;0
17;"Saarland";"SPD";182340;0.0;144464;0.0;0;0;0
17;"Baden-Württemberg";"Volksabstimmung";0;0.0;13648;0.0;0;0;0
17;"Bayern";"CSU";3191000;0.0;2830238;0.0;0;0;0
17;"Bayern";"ödp";83568;0.0;75866;0.0;0;0;0
17;"Rheinland-Pfalz";"MLPD";210;0.0;650;0.0;0;0;0
16;"Bayern";"BüSo";7027;0.0;5501;0.0;0;0;0
16;"Sachsen";"BüSo";22417;0.0;14641;0.0;0;0;0
