Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer;Geschlecht
;"Stephan";"Beyer";;1985;208;M
;"Bettina";"Bieder";"NPD";1980;209;W
;"Christian";"Bieler";"NPD";1985;210;M
;"Klaus";"Biener";"GRÜNE";1959;211;M
;"Xenia";"Biereichelt";"BüSo";1989;212;W
;"Arnhild";"Biesenbach";"CDU";1955;213;W
;"Hans-Dieter";"Biester";"RENTNER";1945;214;M
;"Michael";"Bihler";"CSU";1979;215;M
;"Steffen";"Bilger";"CDU";1979;216;M
;"Rainer";"Biller";"NPD";1965;217;M
;"Karin";"Binder";"DIE LINKE";1957;218;W
;"Martin";"Binder";"CDU";1980;219;M
;"Sascha";"Binder";"SPD";1983;220;M
;"Lothar";"Binding";"SPD";1950;221;M
;"Peter";"Bing";"RENTNER";1951;222;M
;"Clemens";"Binninger";"CDU";1962;223;M
;"Katharina";"Birk";"DIE LINKE";1967;224;W
;"Matthias W.";"Birkwald";"DIE LINKE";1961;225;M
;"Florian";"Bischof";"PIRATEN";1977;226;M
;"Joachim";"Bischoff";"DIE LINKE";1944;227;M
;"Peter";"Bitsch";"REP";1950;228;M
"Dr.";"Günther Wolfgang";"Bittel";"MLPD";1953;229;M
;"Thomas";"Bläsche";"FDP";1978;230;M
;"Robert";"Bläsing";"FDP";1982;231;M
;"Kurt Jürgen";"Blank";"NPD";1970;232;M
;"Bernhard";"Blankenheim";"NPD";1951;233;M
;"Bernd";"Blech";"REP";1961;234;M
;"Thomas";"Blechschmidt";;1965;235;M
"Dr.";"Wolfgang";"Blender";"FDP";1955;236;M
;"Peter";"Bleser";"CDU";1952;237;M
;"Stephan";"Bliemel";"SPD";1978;238;M
"Prof. Dr.";"Frank";"Bliss";"GRÜNE";1956;239;M
;"Detlev";"Blitz";"SPD";1958;240;M
;"Günter";"Blocks";"DIE LINKE";1958;241;M
"Dr.";"Helmut";"Blöcker";"GRÜNE";1945;242;M
;"Marion Else";"Blohm";"DVU";1953;243;W
;"Frank";"Blome";"NPD";1973;244;M
;"Barbara";"Blotenberg";"GRÜNE";1960;245;W
;"Heidrun";"Bluhm";"DIE LINKE";1958;246;W
;"Claudia";"Blum";"SPD";1968;247;W
;"Klaus";"Blume";"RRP";1944;248;M
;"Sebastian";"Blumenthal";"FDP";1974;249;M
;"Volker";"Blumentritt";"SPD";1946;250;M
;"Jürgen";"Blumer";"MLPD";1958;251;M
;"Steffen";"Bockhahn";"DIE LINKE";1978;252;M
;"Claudia";"Bögel";"FDP";1961;253;W
;"Melanie";"Böger";"DIE LINKE";1971;254;W
;"Werner";"Böhler";"SPD";1964;255;M
"Dr.";"Dorothea";"Böhm";"FAMILIE";1962;256;W
;"Walter";"Böhm";"NPD";1959;257;M
"Prof. Dr.";"Maria";"Böhmer";"CDU";1950;258;W
;"Helmut";"Böhmler";"MLPD";1952;259;M
;"Georg";"Böhner";"DIE LINKE";1957;260;M
;"Björn Lars";"Böhning";"SPD";1978;261;M
;"Manfred";"Börm";"NPD";1950;262;M
;"Wolfgang";"Börnsen";"CDU";1942;263;M
;"Peter";"Börs";"NPD";1944;264;M
;"Ralph";"Boes";;1957;265;M
;"Jorg";"Böttcher";;1958;266;M
;"Süntje";"Böttcher";"PIRATEN";1981;267;W
;"Viktor";"Böttcher";"SPD";1952;268;M
"Dr.";"Martin";"Böttger";"GRÜNE";1947;269;M
;"Karl-Heinz";"Bok";"ödp";1951;270;M
;"Gerd";"Bollmann";"SPD";1947;271;M
;"Alexander";"Bonde";"GRÜNE";1975;272;M
;"Keno";"Borde";"SPD";1982;273;M
;"Klaus-Peter";"Borgwardt";"MLPD";1953;274;M
;"Sonja Angela";"Borgwardt";"MLPD";1951;275;W
;"Helmut";"Born";"DIE LINKE";1952;276;M
;"Markus";"Born";"NPD";1982;277;M
;"Thomas";"Born";"BüSo";1983;278;M
;"Raimund Frank";"Borrmann";"NPD";1960;279;M
;"Johannes Martin Maria";"Bortlisz-Dickhoff";"GRÜNE";1957;280;M
;"Wolfgang";"Bosbach";"CDU";1952;281;M
;"Hans-Joachim";"Bosold";"NPD";1952;282;M
"Dr.";"Arnold Klaus Siegmund Georg";"Bosse von";"GRÜNE";1947;283;M
;"Karin";"Bothe";"FDP";1965;284;W
;"Martin";"Bothe";"Die Tierschutzpartei";1968;285;M
;"Reiner";"Bousonville";"GRÜNE";1961;286;M
;"Stefan Alois";"Boxler";"GRÜNE";1964;287;M
;"Nicole";"Bracht-Bendt";"FDP";1959;288;W
;"Norbert";"Brackmann";"CDU";1954;289;M
;"Klaus Peter";"Brähmig";"CDU";1957;290;M
;"Rolf";"Bräuer";"GRÜNE";1955;291;M
"Dr.";"Lutz";"Bräutigam";"GRÜNE";1968;292;M
;"Matthias Walter Heinrich";"Brand";"FAMILIE";1961;293;M
;"Michael";"Brand";"CDU";1973;294;M
;"Sascha";"Brandhoff";"PIRATEN";1982;295;M
;"Bernd";"Brandl";"BP";1972;296;M
"Dr.";"Reinhard";"Brandl";"CSU";1977;297;M
;"Klaus";"Brandner";"SPD";1949;298;M
;"Achim";"Brandt";"Volksabstimmung";1965;299;M
;"Fridolin";"Brandt";"DIE LINKE";1945;300;M
;"Helmut";"Brandt";"CDU";1950;301;M
;"Holger Ernst";"Brandt";;1989;302;M
;"Gerald";"Branghofer";"DVU";1983;303;M
;"Max Erich";"Branghofer";"DVU";1945;304;M
;"Willi";"Brase";"SPD";1951;305;M
