Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer;Geschlecht
;"Reinhard Gerd-Jürgen";"Haese";"REP";1948;1011;M
;"Markus";"Häßler";;1983;1012;M
;"Gotthard Lothar";"Häupl";;1949;1013;M
;"Angelika Jutta";"Hagedorn";"FAMILIE";1957;1014;W
;"Bettina";"Hagedorn";"SPD";1955;1015;W
;"Gene";"Hagelstein";"SPD";1967;1016;M
;"Klaus";"Hagemann";"SPD";1947;1017;M
;"Heide";"Hagen";"PIRATEN";1956;1018;W
;"Jörg";"Hager";"NPD";1980;1019;M
;"Ina";"Hager-Dietel";"CSU";1959;1020;W
;"Rita";"Hagl";"SPD";1970;1021;W
;"Florian";"Hahn";"CSU";1974;1022;M
;"Michael";"Hahn";"NPD";1970;1023;M
;"Holger-Heinrich";"Haibach";"CDU";1971;1024;M
;"Metin";"Hakverdi";"SPD";1969;1025;M
;"Fredy";"Halbroth";"REP";1953;1026;M
;"Marcel";"Haliti";"NPD";1983;1027;M
;"Alexandra";"Hall";"ZENTRUM";1972;1028;W
;"Ingo";"Haller";"NPD";1972;1029;M
;"Matthias";"Halmanns";"NPD";1981;1030;M
;"Karen";"Haltaufderheide";"GRÜNE";1960;1031;W
;"Ralf";"Hamacher";"FAMILIE";1962;1032;M
;"Enrico";"Hamisch";"NPD";1974;1033;M
;"Sandro";"Hammer";"DIE LINKE";1974;1034;M
;"Tim";"Hanke";"CDU";1979;1035;M
;"Brigit Susanne";"Hannemann-Röttgers";"SPD";1961;1036;W
"Dr.";"Christel";"Happach-Kasan";"FDP";1950;1037;W
"Dr.";"Stephan";"Harbarth";"CDU";1971;1038;M
;"Jürgen";"Hardt";"CDU";1963;1039;M
;"Oliver";"Harf";"NPD";1972;1040;M
;"Burkhard";"Harting";"ZENTRUM";1962;1041;M
;"Alexander";"Hartmann";"BüSo";1961;1042;M
;"Birgit";"Hartmann";"BP";1960;1043;W
;"Detlef";"Hartmann";"NPD";1959;1044;M
;"Esther";"Hartmann";"DIE LINKE";1955;1045;W
;"Georg";"Hartmann";"NPD";1936;1046;M
;"Günther";"Hartmann";"ödp";1965;1047;M
;"Maria";"Hartmann";"FAMILIE";1955;1048;W
;"Michael";"Hartmann";"SPD";1963;1049;M
;"Simon";"Hartmann";"SPD";1977;1050;M
;"Thomas";"Hartmann";"GRÜNE";1963;1051;M
;"Uwe";"Hartmann";"BP";1963;1052;M
;"Sabine";"Hartmann-Bastert";"CDU";1974;1053;W
;"Frank";"Hartwig";"NPD";1960;1054;M
;"Karin";"Hartwig";"NPD";1960;1055;W
;"Agnes";"Hasenjäger";"DIE LINKE";1950;1056;W
;"Dagmar";"Hassel";"CDU";1958;1057;W
;"Sarah Luzia";"Hassel-Reusing";"ödp";1961;1058;W
;"Philipp Maximilian";"Hasselbach";"NPD";1987;1059;M
;"Gerda";"Hasselfeldt";"CSU";1950;1060;W
;"Britta";"Haßelmann";"GRÜNE";1961;1061;W
;"Florian";"Haßler";"GRÜNE";1977;1062;M
;"Jörgen Michael";"Hassler";"SPD";1983;1063;M
;"Marc";"Hauck";"FDP";1978;1064;M
;"Michael";"Hauck";"GRÜNE";1970;1065;M
;"Norbert";"Hauck";"REP";1949;1066;M
;"Rainer";"Hauenschild";"DIE LINKE";1968;1067;M
;"Matthias";"Hauer";"CDU";1977;1068;M
;"Nina";"Hauer";"SPD";1968;1069;W
;"Stefan";"Haug";"GRÜNE";1958;1070;M
;"Friedrich";"Haugg";"FDP";1969;1071;M
;"Gabriele";"Hauptstein";"FDP";1960;1072;W
;"Heinz-Peter";"Haustein";"FDP";1954;1073;M
;"Sven-Gunnar";"Haverlandt";"NPD";1978;1074;M
;"Maria-Anna";"Hebach";"Volksabstimmung";1946;1075;W
;"Stefan";"Heck";"CDU";1982;1076;M
;"Doris";"Heer";"DIE LINKE";1949;1077;W
;"Lutz";"Heerwald";"MLPD";1960;1078;M
;"Brigitte";"Hegendörfer";"CSU";1955;1079;W
;"Ute";"Hegener";"GRÜNE";1955;1080;W
;"Reinhard";"Hegewald";"CDU";1964;1081;M
;"Silvio";"Heidbüchel";"DIE LINKE";1988;1082;M
;"Wilfried Bernd Jürgen";"Heidemann";"RRP";1939;1083;M
"Dr.";"Matthias";"Heider";"CDU";1966;1084;M
;"Helmut";"Heiderich";"CDU";1949;1085;M
;"Anny";"Heike";"DIE LINKE";1948;1086;W
;"Hubertus";"Heil";"SPD";1972;1087;M
;"Mechthild";"Heil";"CDU";1961;1088;W
;"Martin";"Heilemann";"DIE LINKE";1966;1089;M
;"Lutz Eberhard";"Heilmann";"DIE LINKE";1966;1090;M
;"Adrian";"Heim";"ödp";1964;1091;M
;"Dirk";"Heimsoth";"NPD";1956;1092;M
"Dr.";"Rosemarie Anna Gertrud";"Hein";"DIE LINKE";1953;1093;W
;"Tobias";"Heine";"PIRATEN";1986;1094;M
;"Silvia";"Heinel";"BüSo";1988;1095;W
;"Uwe";"Heinemann";"SPD";1975;1096;M
;"Anita";"Heinemeyer";"DIE LINKE";1948;1097;W
;"Alexandra";"Heinen";"CDU";1971;1098;W
;"Ursula";"Heinen-Esser";"CDU";1965;1099;W
;"Filip";"Heinlein";"GRÜNE";1985;1100;M
;"Frank";"Heinrich";"CDU";1964;1101;M
;"Ralf";"Heinrich";"BüSo";1962;1102;M
"Dr.";"Christine";"Heins";"CDU";1963;1103;W
;"Marcus";"Heintel";"SPD";1976;1104;M
;"Alexander";"Heinz";"FDP";1978;1105;M
;"Axel";"Heinzmann";"NPD";1946;1106;M
;"Gerhard";"Heinzmann";"PBC";1940;1107;M
;"Michael";"Heinzmann";"PBC";1969;1108;M
;"Thorsten";"Heise";"NPD";1969;1109;M
;"Thomas Martin";"Heiske";"FDP";1966;1110;M
;"Michael";"Heitchen";"FDP";1971;1111;M
;"Ingo";"Helge";"NPD";1976;1112;M
;"Hendrik Tilmann";"Heller";"NPD";1986;1113;M
;"Uda Carmen Freia";"Heller";"CDU";1951;1114;W
;"Harald";"Helling";"SPD";1958;1115;M
;"Katrin";"Helling";"FDP";1986;1116;W
;"Wolfgang";"Hellmich";"SPD";1958;1117;M
;"Ronnie";"Hellriegel";"NPD";1978;1118;M
;"Jan";"Helmer";"CSU";1964;1119;M
"Dr.";"Reinhold";"Hemker";"SPD";1944;1120;M
;"Dennis";"Hempel";;1983;1121;M
;"Rolf";"Hempelmann";"SPD";1948;1122;M
"Dr.";"Barbara";"Hendricks";"SPD";1952;1123;W
;"Rudolf";"Henke";"CDU";1954;1124;M
;"Walter";"Henke";"FDP";1952;1125;M
;"Werner";"Henn";"SPD";1957;1126;M
;"Andreas";"Henne";"CDU";1966;1127;M
;"Stefanie";"Henneke";"GRÜNE";1979;1128;W
;"Martin";"Hennig";"BüSo";1970;1129;M
;"Wolff-Eberhard";"Hennigs von";"CDU";1929;1130;M
"Dr.";"Rigolf";"Henning";"NPD";1935;1131;M
;"Dieter";"Hennne";"FAMILIE";1955;1132;M
;"Michael";"Hennrich";"CDU";1965;1133;M
;"Werner";"Henrichs";"Volksabstimmung";1938;1134;M
;"Ursula Maria";"Henry";"SPD";1941;1135;W
;"Norbert";"Hense";;1990;1136;M
;"Christoph";"Hentzen";"FDP";1959;1137;M
;"Clemens";"Henzler";"CDU";1945;1138;M
"Dr.";"Ernst Albert";"Herbert";"MLPD";1952;1139;M
;"Sibylle";"Herbert";"FDP";1942;1140;W
;"Stefan";"Herbert";"DIE VIOLETTEN";1965;1141;M
"Dr.";"Ulrich";"Herbert";"FDP";1952;1142;M
;"Bettina";"Herlitzius";"GRÜNE";1960;1143;W
;"Petra";"Hermann";"FDP";1960;1144;W
;"Winfried";"Hermann";"GRÜNE";1952;1145;M
;"Stefan";"Hermes";"PIRATEN";1967;1146;M
;"Hans-Dieter";"Herold";"GRÜNE";1951;1147;M
;"Bärbel";"Herr";"REP";1948;1148;W
"Dr.";"Dietrich";"Herrmann";"GRÜNE";1962;1149;M
;"Jürgen";"Herrmann";"CDU";1962;1150;M
;"Detlef";"Hertz";"DIE LINKE";1967;1151;M
;"Christine";"Hertzler-Zimmer";"SPD";1966;1152;W
;"Monica";"Herz";;1956;1153;W
;"Franz";"Herzig";"CDU";1950;1154;M
;"Gustav";"Herzog";"SPD";1958;1155;M
;"Konrad Rudolf";"Heß";"FAMILIE";1939;1156;M
;"Marion";"Heß";"FDP";1967;1157;W
;"Petra";"Heß";"SPD";1959;1158;W
;"Klaus-Peter";"Hesse";"CDU";1967;1159;M
;"Peter";"Hettlich";"GRÜNE";1959;1160;M
;"Ingrid";"Hetz";"DIE VIOLETTEN";1956;1161;W
;"Markus";"Heurung";"PIRATEN";1977;1162;M
;"Walter";"Heuser";"DIE LINKE";1936;1163;M
;"Ansgar";"Heveling";"CDU";1972;1164;M
;"Matthias";"Heyder";"NPD";1972;1165;M
"Dr.";"Jürgen";"Heydrich";"REP";1933;1166;M
;"Hannah";"Heyenn";"DIE LINKE";1982;1167;W
;"Bernd Reinhold Gerhard";"Heynemann";"CDU";1954;1168;M
;"Wolfgang";"Hiebinger";"BP";1946;1169;M
;"Antje";"Hiekisch";"NPD";1977;1170;W
;"Michael Siegmund Reinhard";"Hien";"CSU";1987;1171;M
;"Uwe";"Hiksch";"DIE LINKE";1964;1172;M
;"Karl Willi Arthur";"Hilburger";"RRP";1947;1173;M
;"Anna-Maria";"Hildebrand";"BüSo";1985;1174;W
;"Arne";"Hildebrandt";"PIRATEN";1985;1175;M
;"Robert";"Hildebrandt";"PIRATEN";1983;1176;M
;"Frank";"Hilgenkamp";"GRÜNE";1972;1177;M
;"Rainer";"Hilgert";"ödp";1953;1178;M
;"Axel";"Hilker";"GRÜNE";1967;1179;M
;"Hans-Kurt";"Hill";"DIE LINKE";1950;1180;M
;"Dirk";"Hillbrecht";"PIRATEN";1972;1181;M
;"Heinz";"Hillebrand";"DIE LINKE";1954;1182;M
;"Gabriele";"Hiller-Ohm";"SPD";1953;1183;W
;"Ernst";"Hinsken";"CSU";1943;1184;M
;"Henning";"Hintze";"DIE LINKE";1942;1185;M
;"Peter";"Hintze";"CDU";1950;1186;M
;"Petra";"Hinz";"SPD";1962;1187;W
;"Priska";"Hinz";"GRÜNE";1959;1188;W
;"Cornelia";"Hirsch";"DIE LINKE";1980;1189;W
;"Christian";"Hirte";"CDU";1976;1190;M
;"Thomas";"Hitschler";"SPD";1982;1191;M
;"Robert";"Hochbaum";"CDU";1954;1192;M
;"Stephan";"Hochstein";"BüSo";1983;1193;M
;"Heidrun";"Höche";"DIE VIOLETTEN";1959;1194;W
;"Manuel";"Höferlin";"FDP";1973;1195;M
;"Ulrike";"Höfken-Deipenbrock";"GRÜNE";1955;1196;W
;"Inge";"Höger";"DIE LINKE";1950;1197;W
"Dr.";"Eva";"Högl";"SPD";1969;1198;W
;"Jörg";"Höhfeld";"GRÜNE";1944;1199;M
;"Bärbel";"Höhn";"GRÜNE";1952;1200;W
;"Renate";"Höhne";"MLPD";1956;1201;W
"Dr.";"Barbara";"Höll";"DIE LINKE";1957;1202;W
;"Ingrid";"Hönlinger";"GRÜNE";1964;1203;W
;"Michael Hans";"Höntsch";"DIE LINKE";1954;1204;M
;"Manfred";"Hörner";"MLPD";1951;1205;M
;"Rüdiger";"Hoersch";"RRP";1964;1206;M
;"Heinz-Jürgen";"Hörster";"DIE LINKE";1949;1207;M
;"Joachim";"Hörster";"CDU";1945;1208;M
;"Andreas Christian";"Höveler";"DVU";1944;1209;M
;"Heinrich";"Hövelmann";"FAMILIE";1956;1210;M
;"Jan";"Hövener";;1966;1211;M
;"Heiner";"Höving";"DVU";1960;1212;M
;"Ulrich";"Höwing";;1983;1213;M
;"Elke";"Hoff";"FDP";1957;1214;W
"Dr.";"Bettina";"Hoffman";"GRÜNE";1960;1215;W
;"Dieter";"Hoffmann";"GRÜNE";1965;1216;M
;"Hans-Viktor";"Hoffmann";"FDP";1943;1217;M
"Dr.";"Ludwig";"Hoffmann";"BüSo";1937;1218;M
;"Rolf";"Hoffmann";;1935;1219;M
;"Susanne";"Hoffmann";"NPD";1960;1220;W
;"Timo";"Hoffmann";"BüSo";1978;1221;M
;"Ulrich";"Hoffmann";"ödp";1962;1222;M
;"Michael";"Hoffmeier";"GRÜNE";1969;1223;M
;"Axel";"Hofmann";"DIE LINKE";1944;1224;M
;"Frank";"Hofmann";"SPD";1949;1225;M
;"Frank";"Hofmann";"BP";1957;1226;M
;"Franziska";"Hofmann";"CM";1948;1227;W
;"Friedrich";"Hofmann";"MLPD";1954;1228;M
"Dr.";"Anton";"Hofreiter";"GRÜNE";1970;1229;M
;"Hermann";"Hofstetter";"ödp";1962;1230;M
;"Ruth";"Hohenadl";"FDP";1960;1231;W
;"Anna Helga Angela";"Hohmann";"SPD";1963;1232;W
;"Michael";"Holl";;1990;1233;M
;"Karin";"Hollack";"NPD";1940;1234;W
;"Karl";"Holmeier";"CSU";1956;1235;M
;"Ingeborg";"Holst";"Die Tierschutzpartei";1938;1236;W
;"Angela Brigitte";"Holz";"SPD";1979;1237;W
;"Franz-Josef";"Holzenkamp";"CDU";1960;1238;M
;"Malte";"Holzer";"NPD";1965;1239;M
;"Birgit";"Homburger";"FDP";1965;1240;W
;"Gerhard";"Honsel";"FAMILIE";1946;1241;M
"Dr.";"Wielant";"Hopfner";"NPD";1942;1242;M
;"Ulrich";"Hopmann";"SPD";1953;1243;M
;"Siegmund";"Hoppe";"PIRATEN";1953;1244;M
;"Thilo";"Hoppe";"GRÜNE";1958;1245;M
;"Margaret";"Horb";"CDU";1967;1246;W
;"Rainer";"Horbas";"FDP";1970;1247;M
;"Waldemar";"Horn";"NPD";1973;1248;M
;"Mirco";"Hornig";"REP";1973;1249;M
;"Cornelia";"Hornung";"SPD";1975;1250;W
;"Fritz-Walter";"Hornung";"DIE LINKE";1957;1251;M
;"Nicole";"Hornung";"PIRATEN";1958;1252;W
;"Sophia";"Horz-Hövel";"GRÜNE";1963;1253;W
;"Bettina";"Houben";"FDP";1960;1254;W
"Dr.";"Guido";"Hoyer";"DIE LINKE";1968;1255;M
"Dr.";"Werner";"Hoyer";"FDP";1951;1256;M
;"André Torsten";"Hubatschek";"FDP";1965;1257;M
;"Edda";"Huber";"Die Tierschutzpartei";1938;1258;W
;"Judith";"Huber";"SPD";1963;1259;W
;"Jürgen";"Huber";"GRÜNE";1954;1260;M
;"Klaus";"Huber";"FAMILIE";1942;1261;M
;"Konrad";"Huber";"REP";1967;1262;M
;"Martin";"Huber";"REP";1960;1263;M
;"Ute";"Hubig";"CDU";1947;1264;W
;"Anette";"Hübinger";"CDU";1955;1265;W
;"Bernd Michael";"Hübner";"DIE LINKE";1961;1266;M
;"Klaas";"Hübner";"SPD";1967;1267;M
;"Johannes";"Hühnlein";"NPD";1984;1268;M
;"Robert";"Huemer";"ödp";1967;1269;M
;"Hubert";"Hüppe";"CDU";1956;1270;M
;"Michael";"Huffer";"DIE LINKE";1956;1271;M
;"Christian";"Hufgard";"PIRATEN";1979;1272;M
;"Roland Wolfgang";"Hultsch";"BüSo";1955;1273;M
;"Christel";"Humme";"SPD";1949;1274;W
;"Alexander Helmut";"Hummel";"CSU";1977;1275;M
;"Peter";"Hummel";"BüSo";1965;1276;M
;"Thomas";"Hummel";"BP";1982;1277;M
;"Werner";"Hummel";"FAMILIE";1963;1278;M
;"Christian";"Hummert";"DIE LINKE";1979;1279;M
;"Ralph";"Hunderlach";"PIRATEN";1974;1280;M
;"Andrej Konstantin";"Hunko";"DIE LINKE";1963;1281;M
;"Jelica";"Hunner";"BP";1960;1282;W
;"Johann";"Hunner";"BP";1941;1283;M
;"Vera";"Hupe";"ödp";1959;1284;W
;"Martina";"Hurst";"CDU";1982;1285;W
;"Monica";"Hussinger";"FDP";1960;1286;W
;"Christian";"Huth";"BüSo";1964;1287;M
;"Joachim";"Huth";"BüSo";1960;1288;M
;"Richard";"Igelmann";"DVU";1977;1289;M
;"Klaus-Dieter";"Ilius";"MLPD";1948;1290;M
;"Petra";"Ilius";"MLPD";1950;1291;W
;"Danial";"Ilkhanipour";"SPD";1981;1292;M
;"Jörg Joachim";"Irion";"MLPD";1939;1293;M
;"Philipp";"Irmscher";"FDP";1988;1294;M
;"Thomas";"Iseke";"FDP";1963;1295;M
;"Figen";"Izgin";"DIE LINKE";1965;1296;W
;"Gerlind Annemarie";"Jackowski";"ödp";1944;1297;W
;"Ulf";"Jäger";"DIE LINKE";1964;1298;M
;"Jan";"Jaeschke";"NPD";1990;1299;M
"Dr.";"Eva";"Jager";"FDP";1950;1300;W
;"Stefan";"Jagsch";"NPD";1986;1301;M
;"Andreas";"Jahn";"NPD";1955;1302;M
;"Kirsten";"Jahn";"GRÜNE";1976;1303;W
;"Franz";"Jansen";;1935;1304;M
;"Cornelius Heinrich";"Janßen";"FDP";1965;1305;M
;"Jan";"Janssen";;1971;1306;M
;"Michael";"Janssen";"NPD";1985;1307;M
;"Richard";"Janus";"GRÜNE";1970;1308;M
;"Hans-Werner";"Jarmer";"ZENTRUM";1958;1309;M
;"Thomas";"Jarzombek";"CDU";1973;1310;M
;"Erich";"Jaschkowski";;1952;1311;M
"Dr.";"Dieter";"Jasper";"CDU";1962;1312;M
;"Dorothea";"Jauernig";"MLPD";1938;1313;W
;"Jochen";"Jehle";"SPD";1968;1314;M
;"Ursula";"Jelpke";"DIE LINKE";1951;1315;W
;"Reiner";"Jenkel";"DIE LINKE";1950;1316;M
;"Kai";"Jennerjahn";"Die Tierschutzpartei";1983;1317;M
;"Karina Annemarie";"Jens";"CDU";1958;1318;W
"Dr.";"Nils";"Jensen";"ödp";1975;1319;M
;"Jens";"Jenssen";"SPD";1979;1320;M
;"Anneliese";"Jenter";"SPD";1953;1321;W
;"Thomas";"Jepsen";"CDU";1973;1322;M
;"Marieluise";"Jeschke";"REP";1935;1323;W
;"Elke";"Jesinghausen";"CDU";1955;1324;W
;"Heinz-Werner";"Jezewski";"DIE LINKE";1958;1325;M
"Dr.";"Lukrezia Luise";"Jochimsen";"DIE LINKE";1936;1326;W
;"Mathias";"Jochum";"CDU";1981;1327;M
;"Bruno";"Jöbkes";"GRÜNE";1967;1328;M
;"Wolfgang";"Jöckle";"ödp";1950;1329;M
;"Sven Wolfgang";"Jörns";"PIRATEN";1970;1330;M
;"Silke";"Johanning-Sturm";"CDU";1976;1331;W
;"Norbert";"Johannpötter";"ödp";1972;1332;M
;"Gisela";"Johlke";"GRÜNE";1945;1333;W
;"Robin";"John";"FDP";1976;1334;W
;"Rüdiger";"John";"ödp";1977;1335;M
;"Siegmar";"John";"BüSo";1939;1336;M
;"Arnold Peter";"Joosten";"SPD";1982;1337;M
"Dr.";"Hans-Heinrich";"Jordan";"CDU";1948;1338;M
;"Ingrid";"Jost";"DIE LINKE";1948;1339;W
"Dr.";"Ingo";"Juchler";"SPD";1962;1340;M
;"Ludwig";"Jürgens";"SPD";1942;1341;M
"Dr.";"Egon";"Jüttner";"CDU";1942;1342;M
;"Johannes";"Jüttner";"REP";1966;1343;M
;"Gert";"Julius";"DKP";1936;1344;M
;"Jörg";"Juner";"SPD";1967;1345;M
;"Andreas";"Jung";"CDU";1975;1346;M
"Dr.";"Franz Josef";"Jung";"CDU";1949;1347;M
;"Gabriele";"Jung";"GRÜNE";1965;1348;W
;"Johannes";"Jung";"SPD";1967;1349;M
;"Manuela";"Jung";"Die Tierschutzpartei";1960;1350;W
;"Sabine";"Jung";"SPD";1960;1351;W
;"Walter";"Jung";"FDP";1950;1352;M
;"Xaver";"Jung";"CDU";1962;1353;M
;"Jörg";"Jungmann";"DIE LINKE";1952;1354;M
;"Franziska";"Junker";"DIE LINKE";1963;1355;W
;"Luzian Bernd";"Junkereit";"DIE LINKE";1969;1356;M
;"Josip";"Juratovic";"SPD";1959;1357;M
;"Dirk";"Just";"GRÜNE";1973;1358;M
;"Jens";"Kabisch";"SPD";1984;1359;M
;"Oliver";"Kaczmarek";"SPD";1970;1360;M
;"Arne";"Kaehne";"NPD";1977;1361;M
;"Gabriele";"Kaenders";"DIE LINKE";1951;1362;W
;"Martina";"Kaesbach";"FDP";1964;1363;W
;"Alexander";"Kästner";"CDU";1975;1364;M
;"Toni";"Kästner";"BüSo";1985;1365;M
"Dr.";"Hartmut Herrmann";"Kahl";"GRÜNE";1981;1366;M
;"Michèle";"Kahl";"GRÜNE";1985;1367;W
;"Yazgülü";"Kahraman-Meister";"MLPD";1962;1368;W
;"Johannes";"Kahrs";"SPD";1963;1369;M
;"Werner";"Kainz";"DIE VIOLETTEN";1963;1370;M
;"Brigitte Ottilie";"Kaiser";"RRP";1944;1371;W
;"Christa";"Kaiser";"BüSo";1953;1372;W
;"Gerhard";"Kaiser";"SPD";1954;1373;M
;"Manfred";"Kaiser";"ödp";1968;1374;M
;"Peter";"Kaiser";"FDP";1971;1375;M
;"Sandra";"Kaiser";"ödp";1974;1376;W
;"Bartholomäus";"Kalb";"CSU";1949;1377;M
;"Artur";"Kalka";"Die Tierschutzpartei";1969;1378;M
;"Patrick";"Kallweit";"NPD";1985;1379;M
;"Uwe";"Kallweit";"NPD";1955;1380;M
"Dr.";"Helmut";"Kaltenhauser";"FDP";1961;1381;M
;"Norman";"Kalteyer";"DIE LINKE";1965;1382;M
;"Uwe";"Kaltschmid";"Volksabstimmung";1956;1383;M
;"Ali";"Kamburoglu";;1958;1384;M
;"Maren";"Kaminski";"DIE LINKE";1979;1385;W
;"Hans-Werner";"Kammer";"CDU";1948;1386;M
;"Jürgen";"Kammer";"PIRATEN";1962;1387;M
;"Rochus";"Kammer";"FDP";1956;1388;M
;"Günther";"Kammerer";"FDP";1963;1389;M
;"Heiner";"Kamp";"FDP";1964;1390;M
;"Steffen";"Kampeter";"CDU";1963;1391;M
;"Steffen";"Kanitz";"CDU";1984;1392;M
;"Olcay";"Kanmaz";"DIE LINKE";1957;1393;W
;"Harald";"Kanneder";;1965;1394;M
;"Ahmet";"Kansiz";;1963;1395;M
;"Helena";"Kapp";"CDU";1951;1396;W
;"Thomas";"Karcher";;1978;1397;M
;"Alois";"Karl";"CSU";1950;1398;M
;"Andreas";"Karl";"NPD";1963;1399;M
;"Ilja Bertold";"Karpowski";"BüSo";1981;1400;M
"Dr.";"Detleff";"Karstens";"PBC";1941;1401;M
;"Stefan";"Karstens";"DIE LINKE";1981;1402;M
;"Andreas";"Kaschke";"NPD";1967;1403;M
;"Heidi";"Kaschner";"DIE LINKE";1955;1404;W
;"Suat";"Kasem";"PIRATEN";1988;1405;W
;"Jacqueline";"Kasper";"NPD";1978;1406;W
;"Bernhard Nikolaus";"Kaster";"CDU";1957;1407;M
;"Susanne";"Kastner";"SPD";1946;1408;W
;"Ilse";"Kather";"MLPD";1948;1409;W
;"Michael";"Kauch";"FDP";1967;1410;M
;"Siegfried";"Kauder";"CDU";1950;1411;M
;"Volker";"Kauder";"CDU";1949;1412;M
;"Johanna";"Kaufmann";"ödp";1940;1413;W
"Dr.";"Stefan";"Kaufmann";"CDU";1969;1414;M
;"Thomas";"Kauper";"PBC";1960;1415;M
;"Titus-Ivo";"Kaute";;1952;1416;M
;"Uwe Adolf Otto";"Kekeritz";"GRÜNE";1953;1417;M
;"Ulrich";"Kelber";"SPD";1968;1418;M
;"Christian";"Keller";"SPD";1976;1419;M
;"Hartmut";"Keller";"RENTNER";1941;1420;M
;"Thomas";"Keller";"FDP";1959;1421;M
;"Hans-Jürgen";"Kemmerle";"DIE LINKE";1953;1422;M
;"Ulrike";"Kepper-Grämer";"FDP";1956;1423;W
;"Jens";"Keppler";"NPD";1966;1424;M
;"Michael";"Kerber";"NPD";1978;1425;M
;"Daniel";"Kern";"CDU";1983;1426;M
;"Bärbel";"Kersken";"MLPD";1964;1427;W
;"Gerd";"Kersting";"ödp";1956;1428;M
;"Sieglinde";"Kersting";"ödp";1957;1429;W
;"Ulrike Josefine";"Kessing";"GRÜNE";1965;1430;W
;"Ilko";"Keßler";"SPD";1971;1431;M
;"Achim Robert";"Keßler-Binder";"DIE VIOLETTEN";1938;1432;M
;"Thomas";"Kestler";"GRÜNE";1975;1433;M
;"Katja";"Keul";"GRÜNE";1969;1434;W
;"Nader";"Khalil";"CDU";1968;1435;M
;"Susanne";"Kieckbusch";"GRÜNE";1961;1436;W
"Dr.";"Reinhold";"Kiehl";;1947;1437;M
;"Franz Xaver";"Kieninger";"REP";1964;1438;M
"Dr.";"Cornelia";"Kienzer";"Freie Union";1957;1439;W
;"Roderich";"Kiesewetter";"CDU";1963;1440;M
;"Thomas";"Kik";"REP";1965;1441;M
;"Memet";"Kilic";"GRÜNE";1967;1442;M
;"Lutz";"Kind";;1961;1443;M
;"Ralf";"Kindelmann";"CSU";1976;1444;M
;"Sven-Christian";"Kindler";"GRÜNE";1985;1445;M
;"Anja";"Kindo";"DIE LINKE";1966;1446;W
;"Katja";"Kipping";"DIE LINKE";1978;1447;W
;"Andreas";"Kirchgeßner";"DIE LINKE";1959;1448;M
"Dr.";"Josef";"Kirchmann";"BP";1946;1449;M
;"Bruno Josef";"Kirchner";"NPD";1953;1450;M
;"Gertrud";"Kirf";"SPD";1957;1451;W
;"Martina";"Kirsch";"FDP";1973;1452;W
;"Frank";"Kirstan";"SPD";1965;1453;M
;"Hakan";"Kisa";"GRÜNE";1975;1454;M
;"Thomas";"Kistermann";"MLPD";1970;1455;M
;"Stefan";"Kisters";"GRÜNE";1966;1456;M
;"Manfred";"Kitzberger";"REP";1959;1457;M
;"Eckart Peter Hans";"Klaeden von";"CDU";1965;1458;M
;"Simon";"Klages";"PIRATEN";1969;1459;M
;"Olaf";"Klampe";"FDP";1955;1460;M
;"Ewa";"Klamt";"CDU";1950;1461;W
;"Guido";"Klamt";"ödp";1970;1462;M
;"Olaf";"Klanke";"NPD";1967;1463;M
;"Wolfgang";"Klare";"FDP";1966;1464;M
;"Andreas";"Klaschka";"FDP";1958;1465;M
;"Anne";"Klatt";"GRÜNE";1982;1466;W
;"Helmut";"Klaus";"REP";1949;1467;M
;"Werner";"Klawun";"NPD";1942;1468;M
;"Anne Käthe";"Kleffel";"MLPD";1951;1469;W
;"Kurt-Peter";"Kleffel";"MLPD";1953;1470;M
;"Christian";"Kleiminger";"SPD";1965;1471;M
;"Achim";"Klein";"ödp";1952;1472;M
;"Martin";"Klein";"DIE LINKE";1959;1473;M
;"Rosalinde";"Klein";"CM";1941;1474;W
;"Volkmar";"Klein";"CDU";1960;1475;M
;"Maria Anna";"Klein-Schmeink";"GRÜNE";1958;1476;W
;"Thea";"Kleinert";"DIE LINKE";1966;1477;W
;"Renate";"Kleinfeld";"SPD";1952;1478;W
"Dr.";"Peter";"Kleinmann";"CDU";1956;1479;M
;"Alexander";"Kleist";"FDP";1984;1480;M
;"Horst Karl Hermann";"Klemke";"RENTNER";1937;1481;M
;"Jan";"Klemkow";"PIRATEN";1988;1482;M
;"Heidrich Torwald";"Klenhart";"NPD";1975;1483;M
;"Thomas";"Kleppe";"PBC";1962;1484;M
;"Jürgen";"Klimke";"CDU";1948;1485;M
;"Lars";"Klingbeil";"SPD";1978;1486;M
;"Marcel";"Klinge";"FDP";1980;1487;M
;"Harald";"Klingenberg";"Freie Union";1950;1488;M
;"Wolfgang";"Klinger";"DIE LINKE";1961;1489;M
;"Andreas";"Klingner";;1961;1490;M
;"Peter";"Klis";;1956;1491;M
;"Hubert";"Klodt";"FDP";1951;1492;M
;"Julia";"Klöckner";"CDU";1972;1493;W
;"Hans-Ulrich";"Klose";"SPD";1937;1494;M
"Dr.";"Michael";"Klotzbücher";"FDP";1951;1495;M
;"Mario";"Klotzsche";"FDP";1977;1496;M
;"Astrid";"Klug";"SPD";1968;1497;W
;"Christoph Augustinus";"Klug";"MLPD";1950;1498;M
;"Hans-Robert";"Klug";"NPD";1972;1499;M
